Scrape Index,Post ID,PostD ate,Date Scraped,Message,Link
1,25911,2025-04-18T10:18:47+00:00,2025-04-18T09:14:40.075742,"اظهارات ضد صهیونیستی وزیر دفاع عربستان در دیدار با رهبر انقلاب

▪️جنایات این رژیم چهره واقعی آن را بیش از پیش نمایان کرد

🔹مدیر روابط عمومی دفتر مقام معظم رهبری: وزیر دفاع عربستان در دیدار با رهبر انقلاب از اقدامات توسعه طلبانه رژیم صهیونیستی در منطقه ابراز نگرانی کرد و گفت:جنایت های این رژیم در غزه و‌کرانه باختری و لبنان چهره واقعی رژیم صهیونیستی را بیش از پیش نمایان کرد.#پلیس_کردستان#خادمان_امین🔸همراه ما باشید در👇
پیام رسان سروش :https://splus.ir/policekurdestanپیام رسان ایتا :https://eitaa.com/police_kordestanپیام رسان بله:https://ble.ir/policekordestanپیام رسان روبیکا:https://rubika.ir/police_kurdestan",https://eitaa.com/police_kamyaran/25911
2,25912,2025-04-18T10:18:47+00:00,2025-04-18T09:14:40.075909,"ضربه اطلاعات سپاه به قاچاقچیان سلاح

 ▪️انهدام باند در گیلان

🔹پاسداران گمنام امام زمان (عج) در سازمان اطلاعات سپاه قدس گیلان طی یک عملیات پیچیده اطلاعاتی، امنیتی و عملیاتی موفق شدند یک باند سازمان‌یافته قاچاق و توزیع سلاح و مهمات جنگی را شناسایی و منهدم کنند. 

🔹این باند که اقدام به انتقال سلاح از استان‌های غربی کشور به گیلان برای انجام اقدامات ضد امنیتی می‌کرد، پس از رصد کامل اطلاعاتی و شناسایی، توسط عوامل استانی سپاه با هماهنگی مقام قضایی تحت ضربه قرار گرفت. 

🔹براساس آخرین اطلاعات، در جریان این عملیات، مقادیر قابل توجهی سلاح و مهمات جنگی کشف و ضبط شد و تعدادی از متهمان نیز دستگیر شدند. 

🔹این اقدام امنیتی نشان‌دهنده هوشیاری نیروهای اطلاعاتی سپاه در مقابله با تهدیدات امنیتی و حفظ آرامش و ثبات در استان گیلان است.#پلیس_کردستان#خادمان_امین🔸همراه ما باشید در👇
پیام رسان سروش :https://splus.ir/policekurdestanپیام رسان ایتا :https://eitaa.com/police_kordestanپیام رسان بله:https://ble.ir/policekordestanپیام رسان روبیکا:https://rubika.ir/police_kurdestan",https://eitaa.com/police_kamyaran/25912
3,25913,2025-04-18T10:18:47+00:00,2025-04-18T09:14:40.076044,"هلاکت سرتیم عملیاتی گروهک تروریستی جیش‌الظلم
‌‌
🔹در ادامه رزمایش عملیاتی شهدای امنیت در اجرای سلسله اقدامات اطلاعاتی عملیاتی، رزمندگان قرارگاه قدس و با مشارکت و همکاری اداره کل اطلاعات و فراجا و مردم و معتمدین منطقه، در سحرگاه امروز، در بخش کورین شهرستان زاهدان، تعدادی از اشرار منطقه، دستگیر شدند.

🔹در این عملیات ولی محمد شه بخش سر تیم عملیاتی گروهک تروریستی جیش ظلم که در حوادث تروریستی سال گذشته نقش محوری داشت، به هلاکت رسید.

 🔹‌هچنین تعدادی سلاح و مقداری مهمات طی این عملیات کشف و ضبط شد.

 ‌🔹در جریان این عملیات یک نفر از رزمندگان بسیجی طرح امنیت قرارگاه قدس به نام اسحاق مختاری به فیض عظمای شهادت نایل شد.#پلیس_کردستان#خادمان_امین🔸همراه ما باشید در👇
پیام رسان سروش :https://splus.ir/policekurdestanپیام رسان ایتا :https://eitaa.com/police_kordestanپیام رسان بله:https://ble.ir/policekordestanپیام رسان روبیکا:https://rubika.ir/police_kurdestan",https://eitaa.com/police_kamyaran/25913
4,25914,2025-04-18T10:18:47+00:00,2025-04-18T09:14:40.076177,"اطلاعیه مرزبانیِ سیستان و بلوچستان درباره فوت عیسی نظری

مرزبانی استان سیستان و بلوچستان:
🔹در ساعت ۷:۳۰ پنجشنبه ۲۳اسفندماه ۱۴۰۳ اهالی روستای کله گان به پاسگاه میلِ مرزی ۱۴۷ مراجعه و اعلام می‌کنند که نوجوانی به‌نام عیسی نظری در حوالیِ فهره و در جدار مرزیِ ایران و پاکستان مفقود شده است.

🔹پس از اطلاع؛ عوامل مرزبانی به همراه خانواده‌یِ نوجوان گمشده و اهالیِ محل با استفاده از تجهیزاتِ الکترونیکی و اُپتیکی مانند ریزپرنده هایِ ماتریسی و فانتومِ ۴ از هوا و زمین اقدام به پایش نموده که پس از ۳ روز تلاش شبانه‌روزی نتیجه‌ای حاصل نگردید و در تاریخ ۲۱ فروردین ۱۴۰۴ پیکر نوجوان گمشده در نزدیکیِ مرز پاکستان توسط اهالی محل مشاهده که بلافاصله از طریق پاسگاهِ مرزی به پزشکی قانونی شهرستانِ سراوان منتقل گردید.

🔹در بررسیِ سوابق نیز با توجه به اینکه شب حادثه(۲۳ اسفند ۱۴۰۳) عوامل مرزبانی اقدام به کشف و ضبط چندصد لیتر سوخت قاچاق نموده بودند؛ مشخص شد که عیسی نظری در تاریخ ذکر شده به پاسگاه منتقل نشده و اساسا در آن تاریخ افرادی که اقدام به قاچاق سوخت نمودند متواری و صرفا سوخت قاچاق به پاسگاه منتقل شده است.

🔹همچنین طیِ هماهنگی به‌عمل آمده با مقام قضایی و پزشکیِ قانونی دلایلِ فقدانی و فوت این نوجوان توسط پلیس تحت بررسی‌های تکمیلی بوده که به محض حصول نتیجه اطلاع‌رسانی خواهد شد.#پلیس_کردستان#خادمان_امین🔸همراه ما باشید در👇
پیام رسان سروش :https://splus.ir/policekurdestanپیام رسان ایتا :https://eitaa.com/police_kordestanپیام رسان بله:https://ble.ir/policekordestan",https://eitaa.com/police_kamyaran/25914
5,25915,2025-04-18T10:18:47+00:00,2025-04-18T09:14:40.076321,"🇮🇷۲۹ فروردین روز ارتش جمهوری اسلامی ایران و نیروی زمینی 

گرامی باد یاد و خاطره شهدای ارتش همیشه قهرمان جمهوری اسلامی ایران#پلیس_کردستان#خادمان_امین🔸همراه ما باشید در👇
پیام رسان سروش :https://splus.ir/policekurdestanپیام رسان ایتا :https://eitaa.com/police_kordestanپیام رسان بله:https://ble.ir/policekordestanپیام رسان روبیکا:https://rubika.ir/police_kurdestan",https://eitaa.com/police_kamyaran/25915
6,25916,2025-04-18T10:18:47+00:00,2025-04-18T09:14:40.076455,"🔒 چگونه در محیط اینترنت ایمن بمانیم⁉

📌 وقتی آنلاین هستی، دنیایی از فرصت‌ها و تهدیدها جلوی راهته. برای ایمن موندن:  

📶 از Wi-Fi عمومی استفاده نکن.  
🛡️ سیستم و آنتی‌ویروس رو به‌روز نگه‌دار.  
🔒 رمز عبور قوی داشته باش و از اطلاعات کارت بانکت محافظت کن.  
🌐 فقط از سایت‌های معتبر و دارای نماد اعتماد خرید کن.  

✅ اینترنت فضایی امن می‌شه، وقتی یادمون باشه به افراد ناشناس اعتماد نکنیم و مراقب باشیم کلاهبردارها دستمون رو نخونن!#سواد_فضای_مجازی#پلیس_کردستان#خادمان_امین🔸همراه ما باشید در👇
پیام رسان سروش :https://splus.ir/policekurdestanپیام رسان ایتا :https://eitaa.com/police_kordestanپیام رسان بله:https://ble.ir/policekordestanپیام رسان روبیکا:https://rubika.ir/police_kurdestan",https://eitaa.com/police_kamyaran/25916
7,25917,2025-04-18T10:18:47+00:00,2025-04-18T09:14:40.076620,"❇️ دغدغه‌ها و توصیه‌های سردار رادان، پیرامون آسیب‌ها، تهدیدات و ناهنجاری‌های اجتماعی در فضای مجازی برای کودکان#باشگاه_دانش_آموزی_خبرنگاران_پلیس📹 🎤 لیان بنی سعید: خبرنگار باشگاه دانش‌آموزی خبرنگاران پلیس فارس

🔵🟡 باشگاه دانش‌آموزی خبرنگاران پلیس

🔵🟡https://eitaa.com/Hamyarerasane🔵🟡https://rubika.ir/SPolicePress🔵🟡https://rubika.ir/@Hamyarerasane🔵🟡Insta:@S.policepress🔵🟡https://t.me/bashgahedaneshamoozi

🔵🟡https://shad.ir/s_policepress🔵🟡https://www.aparat.com/BashgaheDaneshAmoozi",https://eitaa.com/police_kamyaran/25917
8,25918,2025-04-18T10:18:47+00:00,2025-04-18T09:14:40.076833,"✍۲۹ فروردین روز ارتش جمهوری اسلامی ایران گرامی باد.#پلیس_کردستان#خادمان_امین🔸همراه ما باشید در👇
پیام رسان سروش :https://splus.ir/policekurdestanپیام رسان ایتا :https://eitaa.com/police_kordestanپیام رسان بله:https://ble.ir/policekordestanپیام رسان روبیکا:https://rubika.ir/police_kurdestan",https://eitaa.com/police_kamyaran/25918
9,25919,2025-04-18T11:44:45+00:00,2025-04-18T09:14:40.076959,"💢آغازپیگیری سرقت از خانمی در""قائمیه"" اسلامشهر

🔰به گزارش خبرنگار خبرگزاری پلیس، سردار""کیومرث عزیزی"" در تشریح جزئیات این خبر، اظهار داشت: در پی وقوع یک فقره سرقت از خانمی در قائمیه اسلامشهر،  تیمی از کارآگاهان پلیس آگاهی  بررسی موضوع را آغاز کردند.
این مقام انتظامی تصریح کرد :بلافاصله با تشکیل تیم ویژه‌ای از کارآگاهان مجرب، ابعاد موضوع به صورت میدانی در حال بررسی و اطلاعات تکمیلی متعاقبا مورد اطلاع رسانی قرار خواهد گرفت.#پلیس_کردستان#خادمان_امین🔸همراه ما باشید در👇
پیام رسان سروش :https://splus.ir/policekurdestanپیام رسان ایتا :https://eitaa.com/police_kordestanپیام رسان بله:https://ble.ir/policekordestanپیام رسان روبیکا:https://rubika.ir/police_kurdestan",https://eitaa.com/police_kamyaran/25919
10,25920,2025-04-18T12:03:25+00:00,2025-04-18T09:14:40.077070,"تنها جایی که اجازه دارید در مورد مشکلات یا موفقیت های خود راحت صحبت کنید، اتاق مشاوره و نزد روان شناس و مشاور خبره هست. دوست نزدیک،  اعضای خانواده و همکار شما نمیتوانند افراد مورد وثوقی باشند ، چرا که ""شما را در نهایت قضاوت خواهند کرد"". اصولا""بسیاری از مشکلات از همین قضاوت کردن ها و قضاوت شدن ها حاصل میگردد.


مرکز خدمات روانشناسی و مشاوره آرامش استان کردستان 
معاونت فرهنگی اجتماعی فرماندهی انتظامی استان کردستان 
آدرس :سنندج خیابان فلسطین(ژاندارمری)،روبه روی فرمانداری.
☎️۰۸۷۲۱۸۲۳۴۰۰_۰۸۷۳۳۲۸۶۶۱۳
تلفن پاسخگو:۰۹۶۵۸۰
با ما در این کانال همراه باشید.@moshavereh_madadkariلینک کانال ایتا:https://eitaa.com/moshaveremadadkariiلینک کانال سروش:https://splus.ir/moshavere_kordestan",https://eitaa.com/police_kamyaran/25920
